repo,chapter,figure_id,language,file_path,extension,chunk_types,plot_family,commit,local_status
Atlas,,,Jupyter Notebook,Atlas\data-sources\CORDEX\CORDEX-WAS_fx.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\data-sources\CORDEX\README.md,.md,text,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\data-sources\scripts\CMIP6_CO2_data_treatment.R,.r,code,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\data-sources\scripts\varInventoryTable.R,.r,code,time_series,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\README.md,.md,text,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_ACCESS1-0_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_ACCESS1-0_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_ACCESS1-0_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_ACCESS1-3_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_ACCESS1-3_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_ACCESS1-3_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_bcc-csm1-1_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_bcc-csm1-1_r1i1p1_rcp26.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_bcc-csm1-1_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_bcc-csm1-1_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_bcc-csm1-1-m_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_bcc-csm1-1-m_r1i1p1_rcp26.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_bcc-csm1-1-m_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_bcc-csm1-1-m_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_BNU-ESM_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_BNU-ESM_r1i1p1_rcp26.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_BNU-ESM_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_BNU-ESM_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CanESM2_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
